"id","ruc","razon_social","cod_unidad","departamento","provincia","distrito","direccion","estado","created_at","updated_at"
"28","20198033414","MUNICIPALIDAD PROVINCIAL DE CAYLLOMA","300395","AREQUIPA","CAYLLOMA","CHIVAY","PLAZA DE ARMAS Nº 104 CHIVAY",,,"2024-04-11 16:15:46"
"29","20169004359","UNIVERSIDAD NACIONAL DE INGENIERIA UNI","92","LIMA","LIMA","RIMAC","CRUCE AV. EDUARDO DE HABICH",,,"2025-12-11 19:50:10"
"30","20325722941","DIRECCION REGIONAL DE EDUCACION TACNA","934","TACNA","TACNA","TACNA","CALLE ALTO LIMA N° 2131",,,"2024-01-11 16:23:18"
"31","20136353315","EPS. SEDA CUSCO S.A","500133","CUSCO","CUSCO","WANCHAQ","AV. ANSELMO ALVAREZ N°364",,,"2025-09-10 14:08:58"
"32","20363839500","REDESS HUANCANE","918","PUNO","HUANCANE","HUANCANE","AV. SANTA CRUZ 108-112",,,"2024-01-11 16:23:11"
"33","20131373075","SERVICIO NACIONAL DE SANIDAD AGRARIA","157","LIMA","LIMA","LA MOLINA","Av. La Molina 1915","1",,"2024-02-09 20:44:08"
"34","20100004675","CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL SOCIEDAD ANONIMA - CORPACS.A","500317","CALLAO","PROV.CONST.DEL CALLAO","CALLAO","AV. ELMER FAUCETT NRO. 3400 ARPTO INTER J CHAVE (ARPTO INTERNACIONAL JORGE CHAVEZ)",,,"2025-06-19 17:39:50"
"35","20154605046","UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION","105","PASCO","PASCO","YANACANCHA","AV. DANIEL ALCIDES CARRION S/N - CIUDAD UNIVERSITARIA",,,"2025-04-19 15:14:00"
"36","20527004269","HOSPITAL REGIONAL GUILLERMO DIAZ DE LA VEGA DE ABANCAY","1037","APURIMAC","ABANCAY","ABANCAY","AV. DANIEL A. CARRION S/N PATIBAMBA/ ABANCAY - AP",,,"2024-01-13 17:18:23"
"37","20131380951","MUNICIPALIDAD METROPOLITANA DE LIMA","301250LIMA","LIMA","LIMA","LIMA","JR HUALLAGA N° 656 - MERCADO MUNICIPAL",,,"2025-03-12 20:14:51"
"38","20144329148","INSTITUTO NACIONAL MATERNO PERINATAL","127","LIMA","LIMA","LIMA","JR. CANGALLO 418 - LIMA",,,"2024-01-11 16:26:01"
"61","20602729762","CORTE SUPERIOR DE JUSTICIA DE","1704","UCAYALI","CORONEL PORTILLO","CALLERIA","JR. TARAPACA NRO. 913 URB. CERCADO DE PUCALLPA (CDRA 9 DE TARAPACA)","0","0000-00-00 00:00:00","2025-05-19 14:30:10"
"75","20159855938","AESALUD HOSPITAL VICTOR LARCO HERRERA","148","LIMA","LIMA","MAGDALENA DEL MAR","AV. DEL EJERCITO NRO. S/N (CUADRA 06 LADO IMPAR)","0","0000-00-00 00:00:00","2025-05-19 16:08:05"
"76","20194048034","AIS HOSPITAL DANIEL A.CARRION","890","PASCO","PASCO","YANACANCHA","AV. LOS INCAS NRO. SN URB. SAN JUAN (AL COSTADO DE LA DISA)","0","0000-00-00 00:00:00","2025-06-11 13:59:05"
"77","20408453489","Atenc.Integ.desalud-Hosp.Reg.de Loreto","874","Loreto","Maynas","Punchana","Av. 28 De Julio Nro.Sn","1","0000-00-00 00:00:00","2024-02-07 18:37:10"
"78","20604932964","AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO-ATU","1717","LIMA","LIMA","MIRAFLORES","CAL.JOSE GALVEZ NRO. 550","0","0000-00-00 00:00:00","2025-06-14 16:39:21"
"79","20520711865","AUTORIDAD NACIONAL DEL AGUA","1299","LIMA","LIMA","SAN ISIDRO","CAL.17 NRO. 355 URB. EL PALOMAR","0","0000-00-00 00:00:00","2025-11-03 23:41:05"
"80","20602114091","AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS","1677","LIMA","LIMA","MIRAFLORES","CAL.SCHELL NRO. 310","0","0000-00-00 00:00:00","2025-05-19 14:50:16"
"81","20122476309","BANCO CENTRAL DE RESERVA DEL PERU - LIMA","900559 - LIMA","LIMA","LIMA","LIMA","JR. SANTA ROSA NRO. 445","0","0000-00-00 00:00:00","2025-03-19 21:03:12"
"82","20100030595","BANCO DE LA NACIÓN","200034","LIMA","LIMA","SAN BORJA","AV. JAVIER PRADO ESTE NRO. 2499 URB. SAN BORJA","0","0000-00-00 00:00:00","2025-05-09 17:38:48"
"83","20600927818","CENTRAL DE COMPRAS PUBLICAS-PERÚ COMPRAS","1650","LIMA","LIMA","SAN ISIDRO","AV. REPUBLICA DE PANAMA NRO. 3629 URB. EL PALOMAR","0","0000-00-00 00:00:00","2025-05-15 18:08:20"
"84","20155140942","CENTRO VACACIONAL HUAMPANI","1276","LIMA","LIMA","LURIGANCHO","CAR.CENTRAL KM. 24.5 CHOSICA(ALT. MERCADO DE CHACLACAYO","0","0000-00-00 00:00:00","2025-07-03 15:02:50"
"85","20131380870","COMANDO CONJUNTO DE LAS FUERZAS ARMADAS","469","LIMA","LIMA","LIMA","JR. NICOLAS CORPANCHO NRO. 289 URB. SANTA BEATRIZ","0","0000-00-00 00:00:00","2025-04-19 16:37:41"
"86","20131371889","COMISION NACIONAL DE INVESTIGACION Y DESARROLLO AEROESPACIAL (CONIDA)","1122","LIMA","LIMA","SAN ISIDRO","JR. LUIS F VILLARAN NRO. 1069 URB. MALIBU","0","0000-00-00 00:00:00","2025-06-16 16:21:08"
"87","20339267821","COMIS.NAC.PARA DESAR.Y VIDA SIN DROGAS","1064","LIMA","LIMA","MIRAFLORES","AV. JOSE M. RAMIREZ GASTON JURADO DE LOS REYES NRO. 151 (ALTURA CDRA 21 DE AV. BENAVIDES)","0","0000-00-00 00:00:00","2025-08-14 13:57:14"
"88","20161749126","CONGRESO DE LA REPUBLICA","477","LIMA","LIMA","LIMA","JR. HUALLAGA NRO. 358","0","0000-00-00 00:00:00","2025-04-22 15:05:39"
"89","20546871330","CONSERVACION DE BOSQUES","1409","LIMA","LIMA","MAGDALENA DEL MAR","AV. ANTONIO MIROQUESADA NRO. 425 (PISO 4)","0","0000-00-00 00:00:00","2025-05-05 17:57:21"
"90","20131378972","CONTRALORIA GENERAL DE LA REPUBLICA","196","LIMA","LIMA","JESUS MARIA","JR. CORONEL CAMILO CARRILLO NRO. 114 URB. SANTA BEATRIZ","0","0000-00-00 00:00:00","2025-04-16 18:19:37"
"91","20100116392","Corporacion Financiera de desarrollo S.A","200035","Lima","Lima","San Isidro","Jr. Augusto Tamayo Nro.160 Urb. Chacarilla Santa Cruz","1","0000-00-00 00:00:00","2024-02-09 20:31:45"
"92","20490770683","CORTE SUPERIOR DE JUSTICIA DE CUSCO","1415","CUSCO","CUSCO","CUSCO","AV. SOL NRO. S/N (PODER JUDICIAL - PRESIDENCIA DE LA CORTE)","0","0000-00-00 00:00:00","2025-10-06 23:55:52"
"93","20568198272","CORTE SUPERIOR DE JUSTICIA DE JUNIN","1416","JUNIN","HUANCAYO","EL TAMBO","JR. PARRA DEL RIEGO NRO. 400 (SEDE DE LA CORTE SUPERIOR DE JUSTICIA)","0","0000-00-00 00:00:00","2025-06-11 14:24:59"
"94","20487872319","CORTE SUPERIOR DE JUSTICIA DE LAMBAYEQUE","1414","LAMBAYEQUE","CHICLAYO","CHICLAYO","AV. CORONEL FRANCISCO BOLOGNESI NRO. 759 CERCADO DE CHICLAYO","0","0000-00-00 00:00:00","2025-05-02 15:31:27"
"95","20542260476","CORTE SUPERIOR DE JUSTICIA DE SAN MARTIN","1474","SAN MARTIN","MOYOBAMBA","MOYOBAMBA","JR. PEDRO CANGA NRO. 354 (COSTADO DE LA GORBERNACION)","0","0000-00-00 00:00:00","2025-05-05 17:46:52"
"96","20602729762","CORTE SUPERIOR DE JUSTICIA DE UCAYALI","1704","UCAYALI","CORONEL PORTILLO","CALLERIA","JR. TARAPACA NRO. 913 URB. CERCADO DE PUCALLPA (CDRA 9 DE TARAPACA)","0","0000-00-00 00:00:00","2025-05-19 14:28:07"
"97","20304117142","DEFENSORIA DEL PUEBLO","197","LIMA","LIMA","LIMA","JR. UCAYALI NRO. 388 LIMA CERCADO (FRENTE IGLESIA SAN PEDRO","0","0000-00-00 00:00:00","2025-04-22 17:38:40"
"98","20161704378","DESPACHO PRESIDENCIAL","1061","LIMA","LIMA","LIMA","JR. DE LA UNION NRO. SN CERCADO DE LIMA (PRIMERA CUADRA)","0","0000-00-00 00:00:00","2025-11-06 15:35:33"
"99","20199565398","DIR.SUB-REG.DE SALUD LUCIANO CASTILLO C.","900","PIURA","SULLANA","SULLANA","TRANSVERSAL TUMBES NRO. S/N","0","0000-00-00 00:00:00","2025-04-22 17:00:00"
"100","20408632146","GERENCIA REGIONAL DE TRANSPORTES Y COMUNICACIONES - LORETO","866","LORETO","MAYNAS","SAN JUAN BAUTISTA","AV. QUIÑONEZ NRO. 3.5 (EN EL MINISTERIO DE TRANSPORTES)","0","0000-00-00 00:00:00","2025-04-23 18:17:23"
"101","20199873378","DIREC. REGIONAL DE EDUCACION DE APURIMAC","753","APURIMAC","ABANCAY","ABANCAY","AV. PACHACUTEC MZA. M LOTE. 24 (AL LADO COLISEO COLEGIO LA SALLE)","0","0000-00-00 00:00:00","2025-12-02 23:18:26"
"102","20170258054","DIRECC. REGIONAL DE SALUD MADRE DE DIOS","879","MADRE DE DIOS","TAMBOPATA","TAMBOPATA","JR. CAJAMARCA NRO. 171","0","0000-00-00 00:00:00","2025-04-22 15:27:25"
"103","20428696515","DIRECCION DE AVIACION POLICIAL","42","CALLAO","PROV. CONST. DEL CALLAO","CALLAO","AV. ELMER FAUCETT NRO. 3900 (COSTADO LIMA CARGO CITY - AEROPUERTO)","0","0000-00-00 00:00:00","2025-04-23 18:27:17"
"104","20185837395","DIRECCION DE RED DE SALUD BAGUA","955","AMAZONAS","BAGUA","BAGUA","AV. HEROES DEL CENEPA NRO. 980","0","0000-00-00 00:00:00","2025-04-29 15:22:30"
"105","20146925686","DIRECCION DE RED DE SALUD HUAYLAS NORTE","744","ANCASH","HUAYLAS","CARAZ","JR. JOSE DE SUCRE NRO. 1258 (COSTADO DE INKA FARMA - PLAZA DE ARMAS)","0","0000-00-00 00:00:00","2025-11-26 21:36:23"
"106","20488336917","DIRECCION DE RED DE SALUD HUAYLAS SUR","740","ANCASH","HUARAZ","INDEPENDENCIA","PJ. MARIA ALVARADO TRUJILLO NRO. 241 URB. INDEPENDENCIA (PARQUE BULEVAR PASTORITA HUARACINA)","0","0000-00-00 00:00:00","2025-05-02 15:34:32"
"107","20602236596","DIRECCIÓN DE REDES INTEGRADAS DE SALUD LIMA ESTE","1686","LIMA","LIMA","EL AGUSTINO","JR. CESAR VALLEJO NRO. S/N URB. CORPORACION EL AGUSTINO (CUADRA 13 - COSTADO HOSP. HIPO. UNANUE)","0","0000-00-00 00:00:00","2025-05-19 14:47:51"
"108","20199917928","DIRECCION DE SALUD APURIMAC II","756","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS","JR. TUPAC AMARU NRO. 135 (CT COLEGIO NAZARENO)","0","0000-00-00 00:00:00","2025-05-19 15:46:39"
"110","20517754499","DIRECCION GENERAL DE ELECTRIFICACION RURAL","1280","LIMA","LIMA","SAN BORJA","AV. LAS ARTES SUR NRO. 260 (MINISTERIO DE ENERGIA Y MINAS)","0","0000-00-00 00:00:00","2025-05-05 16:51:31"
"111","20502628128","DIRECCION NACIONAL DE INTELIGENCIA","1032","LIMA","LIMA","CHORRILLOS","AV. EDMUNDO AGUILAR PASTOR NRO. SN CHORRILLOS (ALTURA VILLA MILITAR)","0","0000-00-00 00:00:00","2025-05-05 16:20:23"
"112","20315959595","DIRECCION REGIONAL DE AGRICULTURA PIURA","894","PIURA","PIURA","CASTILLA","AV. PROGRESO NRO. 2114 A.H. CAMPO POLO (1ER PISO)","0","0000-00-00 00:00:00","2025-04-22 17:53:08"
"113","20368981355","DIRECCION REGIONAL DE EDUCAC. CAJAMARCA","781","CAJAMARCA","CAJAMARCA","CAJAMARCA","AV. ATAHUALPA KM. 3.5 (CARRETERA A BAñOS DEL INCA KM 3.5)","0","0000-00-00 00:00:00","2025-04-23 17:40:23"
"114","20410016070","DIRECCION REGIONAL DE EDUCACION ICA","816","ICA","ICA","ICA","CIUDADELA MAGISTERIAL MZ .N LOTE S/N","0","0000-00-00 00:00:00","2025-07-07 16:15:47"
"115","20325722941","DIRECCION REGIONAL DE EDUCACION TACNA","934","TACNA","TACNA","CALANA","KM. 11 CARRETERA CALANA (SECTOR SANTA RITA)","0","0000-00-00 00:00:00","2025-04-22 18:12:09"
"116","20165645325","DIRECCION REGIONAL DE SALUD - CAJAMARCA","785","CAJAMARCA","CAJAMARCA","CAJAMARCA","AV. MARIO URTEAGA NRO. 500 DOS DE MAYO","0","0000-00-00 00:00:00","2025-05-02 15:20:35"
"117","20156003817","DIRECCION REGIONAL DE SALUD ANCASH","739","ANCASH","HUARAZ","HUARAZ","AV. 27 DE NOVIEMBRE NRO. 1544 (MZ42 LT05 - UNA CDR ANTES DE AV. VILLON)","0","0000-00-00 00:00:00","2025-04-21 17:26:45"
"118","20407625235","DIRECCION REGIONAL DE SALUD HUANCAVELICA","803","HUANCAVELICA","HUANCAVELICA","HUANCAVELICA","AV. ANDRES A CACERES NRO. S/N (MINISTERIO DE SALUD)","0","0000-00-00 00:00:00","2025-04-23 18:15:27"
"119","20146045881","DIRECCION REGIONAL DE SALUD HUANUCO","810","HUANUCO","HUANUCO","HUANUCO","JR. DAMASO BERAUN NRO. 1017","0","0000-00-00 00:00:00","2025-04-19 17:29:59"
"120","20171880891","DIRECCION REGIONAL DE SALUD MOQUEGUA","884","MOQUEGUA","MARISCAL NIETO","MOQUEGUA","AV. BOLIVAR NRO. S/N (HOSPITAL GENERAL)","0","0000-00-00 00:00:00","2025-04-22 15:33:14"
"121","20193980644","DIRECCION REGIONAL DE SALUD PASCO","889","PASCO","PASCO","YANACANCHA","JR. JOSE CARLOS MARIATEGUI NRO. S/N SAN JUAN (COSTADO DEL MERCADO DE YANACANCHA)","0","0000-00-00 00:00:00","2025-07-05 17:11:44"
"122","20171766509","DIRECCION REGIONAL DE SALUD PIURA","899","PIURA","PIURA","CASTILLA","AV. RAMON CASTILLA N° 359- CASTILLA- PIURA","0","0000-00-00 00:00:00","2025-09-01 14:22:44"
"123","20171001065","DIRECCION REGIONAL DE SALUD TUMBES","940","TUMBES","TUMBES","TUMBES","AV. FERNANDOBELAUNDETERRYMZXLT1-10","0","0000-00-00 00:00:00","2025-08-05 15:59:51"
"124","20172373144","DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACION","807","HUANUCO","HUANUCO","HUANUCO","JR. GENERAL PRADO NRO. 911","0","0000-00-00 00:00:00","2025-04-22 15:49:27"
"125","20401788990","DIRECCION REGIONAL DE TRANSPORTES Y COMU NICACIONES JUNIN","821","JUNIN","HUANCAYO","CHILCA","AV. ARTERIAL NRO. 376","0","0000-00-00 00:00:00","2025-04-23 17:56:37"
"126","20188742450","DIRECCION SUB REGIONAL DE SALUD I JAEN","788","CAJAMARCA","JAEN","JAEN","JR. SIMON BOLIVAR NRO. 1560 CERCADO (CERCA MUNICIPALIDAD PROVINCIAL DE JAEN)","0","0000-00-00 00:00:00","2025-04-22 16:52:04"
"127","20411038506","DIRECCION SUB REGIONAL DE SALUD CHOTA","786","CAJAMARCA","CHOTA","CHOTA","JR. EXEQUIEL MONTOYA NRO. 718","0","0000-00-00 00:00:00","2025-04-23 18:24:28"
"128","20569238537","RED INTEGRADA DE SALUD PACIFICO NORTE","1537","ANCASH","SANTA","CHIMBOTE","AV. ENRIQUE MEIGGS NRO. 835 P.J. MIRAFLORES I ZONA (A 2 CDRAS DE COLEGIO POLITECNICO)","0","0000-00-00 00:00:00","2025-05-08 15:54:24"
"129","20602250602","DIRECCIÓN DE REDES INTEGRADAS DE SALUD LIMA CENTRO","1683","LIMA","LIMA","LIMA","AV. NICOLAS DE PIEROLA NRO. 589 CERCADO DE LIMA (PISO 10)","0","0000-00-00 00:00:00","2025-05-19 14:45:27"
"130","20491244900","DIRECCION DE SALUD VIRGEN DE COCHARCAS - CHINCHEROS","1497","APURIMAC","CHINCHEROS","CHINCHEROS","CAL.COTABAMBAS NRO. S/N (A 1CDRA DE LA PLAZA PRINCIPAL)","0","0000-00-00 00:00:00","2025-05-02 15:59:13"
"131","20176217694","DIRECCION REGIONAL DE SALUD AMAZONAS","725","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","CAL.SOSIEGO NRO. 355 URB. CHACHAPOYAS","0","0000-00-00 00:00:00","2025-04-22 16:17:54"
"132","20131369124","EJERCITO PERUANO","470-CHORRILLOS","Lima","Lima","Chorrillos","AV. BOULEVARD NRO. SN (PTA NRO 1 PREGUNTAR POR OEE ANEXO 2810) LIMA - LIMA - SAN BORJA","0","0000-00-00 00:00:00","2025-03-22 15:42:11"
"133","20131369124","EJERCITO PERUANO -PUNO","38","LIMA","LIMA","SAN BORJA","AV. BOULEVARD NRO. SN (PTA NRO 1 PREGUNTAR POR OEE ANEXO 2810)","0","0000-00-00 00:00:00","2025-05-08 16:31:58"
"134","20131369124","EJERCITO PERUANO","400035","MOQUEGUA","MARISCAL NIETO","MOQUEGUA","Av. Manuel Camilo de La Torre S/N CP San Francisco","0","0000-00-00 00:00:00","2024-04-09 18:04:32"
"135","20131369124","EJERCITO PERUANO -  REGION MILITAR SUR AREQUIPA","400036 - AREQUIPA","LIMA","LIMA","SAN BORJA","AV. BOULEVARD NRO. SN (PTA NRO 1 PREGUNTAR POR OEE ANEXO 2810)","0","0000-00-00 00:00:00","2025-05-29 18:24:27"
"136","20131369124","EJERCITO PERUANO-TACNA","431","LIMA","LIMA","SAN BORJA",,"0","0000-00-00 00:00:00","2025-05-08 16:34:56"
"137","20131369124","EJERCITO PERUANO","400032","AYACUCHO","HUAMANGA","ANDRES AVELINO CACERES","AV. EJERCITO S/N","0","0000-00-00 00:00:00","2024-02-13 15:43:46"
"138","20131369124","EJERCITO PERUANO","400023","LA LIBERTAD","TRUJILLO","TRUJILLO","AV AMERICANORTE S/N","0","0000-00-00 00:00:00","2024-05-29 14:03:58"
"139","20116544289","ELECTRO SUR ESTE S.A.A.","200053","CUSCO","CUSCO","SANTIAGO","AV. SUCRE NRO. 400 URB. BANCOPATA (AVENIDA INGRESO A HUANCARO)","0","0000-00-00 00:00:00","2025-08-16 15:30:40"
"140","20129646099","ELECTROCENTRO S.A","200098","JUNIN","HUANCAYO","EL TAMBO","AV. FERROCARRIL N°620","0","0000-00-00 00:00:00","2025-05-09 17:55:01"
"141","20172299581","EMAPA CHANCAY S.A.C.","500164","LIMA","HUARAL","CHANCAY","CAL.TENIENTE PRINGLES NRO. 150 (PLAZA TENIENTE PRINGLES)","0","0000-00-00 00:00:00","2025-04-22 15:37:49"
"142","20218339167","EMP GENERACION ELECTRICA MACHU PICCHU SA","200047","CUSCO","CUSCO","SANTIAGO","AV. COMERCIO NRO 112 CENTRAL TERMICA DOLORES PATA","0","0000-00-00 00:00:00","2024-08-24 14:30:30"
"143","20100003199","EMP NACIONAL DE PUERTOS S A","500316","Callao","PROV. CONST. DEL CALLAO","Callao","JR. MANCO CAPAC NRO. 255 (FRENTE A LA PREFECTURA JUNTO A DPWORLD)","0","0000-00-00 00:00:00","2025-04-15 15:27:06"
"144","20103795631","EMP REG DE SERV PUBLICO DE ELECTRICIDAD","200050","LORETO","MAYNAS","IQUITOS","AV. GENERAL EP AUGUSTO FREYRE NRO. 1168","0","0000-00-00 00:00:00","2025-04-15 15:36:13"
"145","20425809882","EMP.DE ADMIN. DE INFRAEST. ELECTRICA S.A","200011","LIMA","LIMA","SAN JUAN DE MIRAFLORES","PRO.AV. PEDRO MIOTTA NRO. 421 (MODULO 8)","0","0000-00-00 00:00:00","2025-04-23 18:25:39"
"146","20119205949","EMP.REG.SERV.PUB.ELECT.ELECTROSURS.A.","200052","TACNA","TACNA","TACNA","CAL.ZELA NRO. 408 CERCADO","0","0000-00-00 00:00:00","2025-04-15 15:44:57"
"147","20125449361","EMP.SERV.LIMP.MUNIC.PUBLICA CALLAO S.A.","500193","CALLAO","PROV. CONST. DEL CALLAO","CALLAO","CAL.10-B NRO. 212 URB. LA TABOADITA (AL COSTADO DE MERCADO MODELO EL PACIFICO)","0","0000-00-00 00:00:00","2025-04-15 15:53:06"
"148","20100027705","EMPRESA ELECTRICIDAD DEL PERÚ- ELECTRO PERÚ SA","200044","LIMA","LIMA","SAN JUAN DE MIRAFLORES","AV. PEDRO MIOTA NRO.421 Z.I","0","0000-00-00 00:00:00","2024-02-13 17:06:44"
"149","20100164958","EMPRESA MUNICIPAL DE MERCADOS SA","500190","LIMA","LIMA","SANTA ANITA","AV. LA CULTURA NRO.808 COO. SANTA AURELIA","0","0000-00-00 00:00:00","2024-02-10 15:15:07"
"150","20115851919","EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO DE AGUA POTABLE Y ALCANTARILLADO DE ILO S.A.","500149","MOQUEGUA","ILO","ILO","AV. MIRAMAR NRO. MZ-C P.J. MIRAMAR (PARTE PRIMA RESERVORIO)","0","0000-00-00 00:00:00","2025-04-15 15:30:17"
"151","20176170876","EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE CAÑETE","500148","LIMA","CAÑETE","SAN VICENTE DE CAÑETE","NRO. 768 OTR. AV. MARISCAL BENAVIDES (AL FRENTE DE LA ENTRADA PASAJE EL ALAMO)","0","0000-00-00 00:00:00","2025-12-03 18:27:35"
"152","20132023540","EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD ELECTRONORTEMEDIO SOCIEDAD ANONIMA - HIDRANDINA","200097","LA LIBERTAD","TRUJILLO","TRUJILLO","JR. SAN MARTIN NRO. 831","0","0000-00-00 00:00:00","2025-04-19 16:43:24"
"154","20132023540","Empresa Regional de Servicio Publico de Electricidad Electronorte Medio Sociedad Anonima- Hidrandina","200097","La Libertad","Trujillo","Trujillo","Jr. San Martin Nro. 831","1","0000-00-00 00:00:00","2024-02-07 16:06:00"
"156","20100063337","EMPRESA MUNICIPAL ADMINISTRADORA DE PEAJE DE LIMA S.A.","500196","LIMA","LIMA","ATE","AV. VIA DE EVITAMIENTO KM.1.7","0","0000-00-00 00:00:00","2025-05-09 17:37:51"
"157","20126236078","EMPRESA MUNICIPAL INMOBILIARIA DE LIMA S.A.","500186","LIMA","LIMA","LIMA","JR. CUZCO NRO. 286","0","0000-00-00 00:00:00","2025-04-15 15:55:37"
"158","20100072751","EMPRESA PERÚANA DE SERVICIOS EDITORIALES S.A. - EDITORAPERÚ","200040","LIMA","LIMA","LIMA","AV. ALFONSO UGARTE NRO. 873","0","0000-00-00 00:00:00","2025-05-09 17:40:00"
"159","20134052989","ENT.PREST.SERVICIOS DE SANEAMIENTO TACNA S.A.","500135","TACNA","TACNA","TACNA","AV. 2 DE MAYO NRO. 372 CERCADO","0","0000-00-00 00:00:00","2025-04-19 16:50:06"
"160","20136353315","Eps. Sedacuscos.A","500133","Cusco","Cusco","Wanchaq","Av. Anselmo Alvarez Nro. 364 (Frente A Essalud)","1","0000-00-00 00:00:00","2024-03-15 13:48:10"
"161","20138021140","ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA PUBLICA ""MONTERRICO""","77","LIMA","LIMA","SANTIAGO DE SURCO","JR. MORRO SOLAR NRO. 982 URB. SANTA TERESA","0","0000-00-00 00:00:00","2025-04-19 17:15:52"
"162","20381959997","DIRECCION DE EDUCACION Y DOCTRINA DE LA POLICIA NACIONAL DEL PERU","43","LIMA","LIMA","CHORRILLOS","AV. GUARDIA CIVIL NRO. S/N URB. LA CAMPINA (ESCUELA DE LA PNP.-PTA.PRINCIPAL.)","0","0000-00-00 00:00:00","2025-05-31 15:45:55"
"163","20131379430","ESCUELA NACIONAL DE MARINA MERCANTE 'ALMIRANTE MIGUEL GRAU'","1123","CALLAO","PROV. CONST. DEL CALLAO","CALLAO","AV. PROGRESO NRO. 632 URB. CHUCUITO (EX PROLONGACION BUENOS AIRES)","0","0000-00-00 00:00:00","2025-04-16 18:22:58"
"164","20143700136","ESCUELA NACIONAL SUPERIOR AUTONOMA DE BELLAS ARTES DEL PERU","76","LIMA","LIMA","LIMA","CRUCE CON JR. ANDAHUAYLAS","0","0000-00-00 00:00:00","2024-04-18 15:36:59"
"165","20600575806","ESTABLECIMIENTO DE SALUD MUNICIPAL-ESAMU","500319","AREQUIPA","AREQUIPA","CERRO COLORADO","AV. PUMACAHUA NRO. S/N","0","0000-00-00 00:00:00","2025-06-19 17:24:00"
"167","20164503080","FONDO METROPOLITANO DE INVERSIONES","500235","LIMA","LIMA","LIMA","JR. LAMPA NRO. 357 INT. 5 CERCADO DE LIMA","0","0000-00-00 00:00:00","2025-08-29 13:42:53"
"168","20601110670","FRENTE POLICIAL PUNO","1653","PUNO","PUNO","PUNO","AV. EL SOL NRO. 450 URB. BELLAVISTA (COSTADO DE LA COMPAÑIA DE BOMBEROS)","0","0000-00-00 00:00:00","2025-06-14 16:56:45"
